state;action_reward;n_state
13404&5|306&5|62959&5|13404&5|1150&5|306&5|5978&5|5978&5|1150&5|25739&5|25739&5|58518&5;16874&5|40442&5|62959&5|58518&5;13404&5|306&5|62959&5|13404&5|1150&5|306&5|5978&5|5978&5|1150&5|25739&5|25739&5|58518&5|16874&5|40442&5|62959&5|58518&5
52022&5|13138&5|63252&5|29227&5|63252&5|11005&5|64845&5|52022&5|18936&5|55556&5|33213&5|33213&5;52022&5|39101&5|56618&5|11005&5;52022&5|13138&5|63252&5|29227&5|63252&5|11005&5|64845&5|52022&5|18936&5|55556&5|33213&5|33213&5|52022&5|39101&5|56618&5|11005&5
22570&5|61005&5|21851&5|62283&5|14137&5|51180&5|10679&5|3933&5|27164&5|22929&5|35685&5|55189&5;51180&5|54807&5|1406&5|5211&5;22570&5|61005&5|21851&5|62283&5|14137&5|51180&5|10679&5|3933&5|27164&5|22929&5|35685&5|55189&5|51180&5|54807&5|1406&5|5211&5
41804&5|245&5|35224&5|48904&5|23911&5|56148&5|33096&5|11101&5|51983&5|48904&5|55805&5|18285&5;60699&5|2782&5|29041&5|11101&5;41804&5|245&5|35224&5|48904&5|23911&5|56148&5|33096&5|11101&5|51983&5|48904&5|55805&5|18285&5|60699&5|2782&5|29041&5|11101&5
20121&5|35452&5|329&5|9647&5|35922&5|43677&5|57737&5|52995&5|871&5|30531&5|28079&5|871&5;26288&5|38299&5|5978&5|35922&5;20121&5|35452&5|329&5|9647&5|35922&5|43677&5|57737&5|52995&5|871&5|30531&5|28079&5|871&5|26288&5|38299&5|5978&5|35922&5
54086&5|21383&5|62620&5|56253&5|54827&5|60340&5|61664&5|62620&5|62124&5|45665&5|14058&5|5183&5;21383&5|9798&5|54827&5|44399&5;54086&5|21383&5|62620&5|56253&5|54827&5|60340&5|61664&5|62620&5|62124&5|45665&5|14058&5|5183&5|21383&5|9798&5|54827&5|44399&5
19620&5|52551&5|57457&5|43142&5|13537&5|43142&5|19620&5|52551&5|22471&5|7327&5|25857&5|52551&5;21555&5|28296&5|22279&5|37920&5;19620&5|52551&5|57457&5|43142&5|13537&5|43142&5|19620&5|52551&5|22471&5|7327&5|25857&5|52551&5|21555&5|28296&5|22279&5|37920&5
13927&5|28257&5|55248&5|55248&5|14842&5|38675&5|14842&5|2003&5|42620&5|32747&5|38675&5|58006&5;58006&5|13927&5|38675&5|32747&5;13927&5|28257&5|55248&5|55248&5|14842&5|38675&5|14842&5|2003&5|42620&5|32747&5|38675&5|58006&5|58006&5|13927&5|38675&5|32747&5
34694&5|1864&5|21789&5|46372&5|2018&5|9003&5|21789&5|48276&5|56694&5|51388&5|34694&5|21771&5;58933&5|37376&5|1864&5|1864&5;34694&5|1864&5|21789&5|46372&5|2018&5|9003&5|21789&5|48276&5|56694&5|51388&5|34694&5|21771&5|58933&5|37376&5|1864&5|1864&5
6956&5|41373&5|19539&5|48276&5|28068&5|34678&5|49175&5|49867&5|7716&5|4370&5|23520&5|7442&5;28850&5|16850&5|22997&5|19495&5;6956&5|41373&5|19539&5|48276&5|28068&5|34678&5|49175&5|49867&5|7716&5|4370&5|23520&5|7442&5|28850&5|16850&5|22997&5|19495&5
15765&5|23912&5|44086&5|64928&5|52536&5|22570&5|56461&5|45954&5|27311&5|52473&5|19651&5|58641&5;45794&5|8549&5|32978&5|6616&5;15765&5|23912&5|44086&5|64928&5|52536&5|22570&5|56461&5|45954&5|27311&5|52473&5|19651&5|58641&5|45794&5|8549&5|32978&5|6616&5
36739&5|16233&5|36739&5|32498&5|42989&5|16233&5|50&5|548&5|32498&5|24045&5|41097&5|52551&5;16715&5|3899&5|24045&5|39634&5;36739&5|16233&5|36739&5|32498&5|42989&5|16233&5|50&5|548&5|32498&5|24045&5|41097&5|52551&5|16715&5|3899&5|24045&5|39634&5
10933&5|52551&5|23094&5|58090&5|42458&5|49944&5|54625&5|477&5|54594&5|596&5|34020&5|54625&5;18285&5|3259&5|6218&5|34020&5;10933&5|52551&5|23094&5|58090&5|42458&5|49944&5|54625&5|477&5|54594&5|596&5|34020&5|54625&5|18285&5|3259&5|6218&5|34020&5
58226&5|10897&5|14697&5|58226&5|39900&5|28296&5|5104&5|61103&5|12907&5|52551&5|62215&5|61267&5;42299&5|25811&5|49361&5|12907&5;58226&5|10897&5|14697&5|58226&5|39900&5|28296&5|5104&5|61103&5|12907&5|52551&5|62215&5|61267&5|42299&5|25811&5|49361&5|12907&5
54980&5|2186&5|18870&5|48742&5|43283&5|12048&5|8073&5|31801&5|26320&5|8148&5|59546&5|11005&5;8148&5|6511&5|8148&5|32683&5;54980&5|2186&5|18870&5|48742&5|43283&5|12048&5|8073&5|31801&5|26320&5|8148&5|59546&5|11005&5|8148&5|6511&5|8148&5|32683&5
8763&5|64554&5|64554&5|23901&5|27526&5|27526&5|23901&5|35452&5|6023&5|22279&5|51886&5|51886&5;64554&5|35710&5|848&5|16715&5;8763&5|64554&5|64554&5|23901&5|27526&5|27526&5|23901&5|35452&5|6023&5|22279&5|51886&5|51886&5|64554&5|35710&5|848&5|16715&5
